shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
HWY280_SHP,33.446621,-86.737221,95,
HWY280_SHP,33.445591,-86.735893,96,
HWY280_SHP,33.444969,-86.735001,97,
HWY280_SHP,33.444969,-86.735001,98,
HWY280_SHP,33.445549,-86.734459,99,
HWY280_SHP,33.445728,-86.734161,100,
HWY280_SHP,33.445992,-86.73259,101,
HWY280_SHP,33.446171,-86.732132,102,
HWY280_SHP,33.446381,-86.73185,103,
HWY280_SHP,33.447369,-86.731148,104,
HWY280_SHP,33.448132,-86.730324,105,
HWY280_SHP,33.448479,-86.730042,106,
HWY280_SHP,33.448761,-86.729889,107,
HWY280_SHP,33.449059,-86.729797,108,
HWY280_SHP,33.449692,-86.729752,109,
HWY280_SHP,33.449692,-86.729752,110,
HWY280_SHP,33.449669,-86.729469,111,
HWY280_SHP,33.44957,-86.729088,112,
HWY280_SHP,33.44957,-86.729088,113,
HWY280_SHP,33.45005,-86.72908,114,
HWY280_SHP,33.45013,-86.729134,115,
HWY280_SHP,33.450359,-86.729477,116,
HWY280_SHP,33.45084,-86.729591,117,
HWY280_SHP,33.451141,-86.729721,118,
HWY280_SHP,33.45163,-86.730179,119,
HWY280_SHP,33.452,-86.730217,120,
HWY280_SHP,33.452,-86.730217,121,
HWY280_SHP,33.451962,-86.730431,122,
HWY280_SHP,33.451679,-86.730812,123,
HWY280_SHP,33.451679,-86.730812,124,
HWY280_SHP,33.451111,-86.730133,125,
HWY280_SHP,33.450932,-86.729988,126,
HWY280_SHP,33.450729,-86.729912,127,
HWY280_SHP,33.4505,-86.729881,128,
HWY280_SHP,33.44923,-86.72995,129,
HWY280_SHP,33.448921,-86.730019,130,
HWY280_SHP,33.44862,-86.730164,131,
HWY280_SHP,33.448189,-86.730522,132,
HWY280_SHP,33.447529,-86.731209,133,
HWY280_SHP,33.446548,-86.731949,134,
HWY280_SHP,33.446411,-86.732101,135,
HWY280_SHP,33.44627,-86.732307,136,
HWY280_SHP,33.446152,-86.732628,137,
HWY280_SHP,33.445869,-86.734177,138,
HWY280_SHP,33.44577,-86.734428,139,
HWY280_SHP,33.445339,-86.734879,140,
HWY280_SHP,33.445042,-86.7351,141,
HWY280_SHP,33.445042,-86.7351,142,
HWY280_SHP,33.444328,-86.73381,143,
HWY280_SHP,33.443169,-86.732162,144,
HWY280_SHP,33.44223,-86.730324,145,
HWY280_SHP,33.440899,-86.728043,146,
HWY280_SHP,33.439831,-86.72644,147,
HWY280_SHP,33.439018,-86.725037,148,
HWY280_SHP,33.438358,-86.723999,149,
HWY280_SHP,33.436562,-86.720871,150,
HWY280_SHP,33.43483,-86.718079,151,
HWY280_SHP,33.432011,-86.713226,152,
HWY280_SHP,33.429691,-86.709579,153,
HWY280_SHP,33.428421,-86.707741,154,
HWY280_SHP,33.424252,-86.70266,155,
HWY280_SHP,33.4235,-86.701576,156,
HWY280_SHP,33.422642,-86.700089,157,
HWY280_SHP,33.420261,-86.695053,158,
HWY280_SHP,33.418968,-86.692192,159,
HWY280_SHP,33.41835,-86.690598,160,
HWY280_SHP,33.418091,-86.68956,161,
HWY280_SHP,33.41798,-86.68866,162,
HWY280_SHP,33.417919,-86.68734,163,
HWY280_SHP,33.41795,-86.686577,164,
HWY280_SHP,33.418758,-86.678596,165,
HWY280_SHP,33.418758,-86.678596,166,
HWY280_SHP,33.422668,-86.678719,167,
HWY280_SHP,33.426281,-86.678902,168,
HWY280_SHP,33.427429,-86.678772,169,
HWY280_SHP,33.427429,-86.678772,170,
HWY280_SHP,33.426281,-86.678902,171,
HWY280_SHP,33.422668,-86.678719,172,
HWY280_SHP,33.418919,-86.678612,173,
HWY280_SHP,33.418919,-86.678612,174,
HWY280_SHP,33.41814,-86.686668,175,
HWY280_SHP,33.418098,-86.687332,176,
HWY280_SHP,33.418171,-86.688782,177,
HWY280_SHP,33.41848,-86.690399,178,
HWY280_SHP,33.418701,-86.691063,179,
HWY280_SHP,33.421638,-86.697563,180,
HWY280_SHP,33.422981,-86.700317,181,
HWY280_SHP,33.423851,-86.701767,182,
HWY280_SHP,33.424389,-86.70253,183,
HWY280_SHP,33.424809,-86.702988,184,
HWY280_SHP,33.425919,-86.704399,185,
HWY280_SHP,33.427101,-86.705742,186,
HWY280_SHP,33.429111,-86.70842,187,
HWY280_SHP,33.430439,-86.710381,188,
HWY280_SHP,33.432201,-86.713219,189,
HWY280_SHP,33.438469,-86.723763,190,
HWY280_SHP,33.439331,-86.725273,191,
HWY280_SHP,33.441051,-86.727982,192,
HWY280_SHP,33.442589,-86.730637,193,
HWY280_SHP,33.443291,-86.731949,194,
HWY280_SHP,33.44434,-86.733459,195,
HWY280_SHP,33.44492,-86.734497,196,
HWY280_SHP,33.44492,-86.734497,197,
HWY280_SHP,33.445122,-86.734619,198,
HWY280_SHP,33.44529,-86.734619,199,
HWY280_SHP,33.44545,-86.734558,200,
