trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
hwy280WD14,,,MorrisA20S,2,,0,0,
hwy280WD14,,,5points,3,,0,0,
hwy280WD14,19:15:00,19:15:00,summit,4,,0,0,
hwy280WD14,19:30:00,19:30:00,colonnade,5,,0,0,
hwy280WD14,19:43:00,19:43:00,chickfila280,6,,0,0,
hwy280WD14,19:52:00,19:57:00,walmart280,7,,0,0,
hwy280WD14,20:06:00,20:06:00,chickfila280,8,,0,0,
hwy280WD14,20:18:00,20:18:00,colonnade,9,,0,0,
hwy280WD14,20:24:00,20:24:00,summit,10,,0,0,
hwy280WD14,,,5points,11,,0,0,
hwy280WD14,,,MorrisA20S,12,,0,0,
hwy280WD14,20:46:00,20:46:00,central,13,,0,0,
hwy280WD15,20:00:00,20:00:00,central,1,,0,0,
hwy280WD15,,,MorrisA20S,2,,0,0,
hwy280WD15,,,5points,3,,0,0,
hwy280WD15,20:15:00,20:15:00,summit,4,,0,0,
hwy280WD15,20:30:00,20:30:00,colonnade,5,,0,0,
hwy280WD15,20:37:00,20:37:00,marriott280,6,,0,0,
hwy280WD15,20:43:00,20:43:00,chickfila280,7,,0,0,
hwy280WD15,20:52:00,20:57:00,walmart280,8,,0,0,
hwy280WD15,21:03:00,21:03:00,chickfila280,9,,0,0,
hwy280WD15,21:06:00,21:06:00,marriott280,10,,0,0,
hwy280WD15,21:15:00,21:15:00,colonnade,11,,0,0,
hwy280WD15,21:21:00,21:21:00,summit,12,,0,0,
hwy280WD15,,,5points,13,,0,0,
hwy280WD15,,,MorrisA20S,14,,0,0,
hwy280WD15,21:43:00,21:43:00,central,15,,0,0,
hwy280WD16,21:00:00,21:00:00,central,1,,0,0,
hwy280WD16,,,MorrisA20S,2,,0,0,
hwy280WD16,,,5points,3,,0,0,
hwy280WD16,21:25:00,21:25:00,summit,4,,0,0,
hwy280WD16,21:40:00,21:40:00,colonnade,5,,0,0,
hwy280WD16,21:47:00,21:47:00,marriott280,6,,0,0,
hwy280WD16,21:53:00,21:53:00,chickfila280,7,,0,0,
hwy280S0,06:10:00,06:10:00,central,1,,0,0,
hwy280S0,,,MorrisA20S,2,,0,0,
hwy280S0,,,5points,3,,0,0,
hwy280S0,06:35:00,06:35:00,summit,4,,0,0,
hwy280S0,06:50:00,06:50:00,colonnade,5,,0,0,
hwy280S0,06:56:00,06:56:00,marriott280,6,,0,0,
hwy280S0,07:01:00,07:01:00,chickfila280,7,,0,0,
hwy280S0,07:15:00,07:20:00,walmart280,8,,0,0,
hwy280S0,07:25:00,07:25:00,chickfila280,9,,0,0,
hwy280S0,07:30:00,07:30:00,marriott280,10,,0,0,
hwy280S0,07:35:00,07:35:00,colonnade,11,,0,0,
hwy280S0,07:41:00,07:41:00,summit,12,,0,0,
hwy280S0,,,5points,13,,0,0,
hwy280S0,,,MorrisA20S,14,,0,0,
hwy280S0,08:06:00,08:06:00,central,15,,0,0,
hwy280S1,08:10:00,08:10:00,central,1,,0,0,
hwy280S1,,,MorrisA20S,2,,0,0,
hwy280S1,,,5points,3,,0,0,
hwy280S1,08:35:00,08:35:00,summit,4,,0,0,
hwy280S1,08:50:00,08:50:00,colonnade,5,,0,0,
hwy280S1,08:56:00,08:56:00,marriott280,6,,0,0,
hwy280S1,09:01:00,09:01:00,chickfila280,7,,0,0,
hwy280S1,09:15:00,09:20:00,walmart280,8,,0,0,
hwy280S1,09:25:00,09:25:00,chickfila280,9,,0,0,
hwy280S1,09:30:00,09:30:00,marriott280,10,,0,0,
hwy280S1,09:35:00,09:35:00,colonnade,11,,0,0,
hwy280S1,09:41:00,09:41:00,summit,12,,0,0,
hwy280S1,,,5points,13,,0,0,
hwy280S1,,,MorrisA20S,14,,0,0,
hwy280S1,10:06:00,10:06:00,central,15,,0,0,
hwy280S2,10:10:00,10:10:00,central,1,,0,0,
hwy280S2,,,MorrisA20S,2,,0,0,
hwy280S2,,,5points,3,,0,0,
hwy280S2,10:35:00,10:35:00,summit,4,,0,0,
hwy280S2,10:50:00,10:50:00,colonnade,5,,0,0,
hwy280S2,10:56:00,10:56:00,marriott280,6,,0,0,
hwy280S2,11:01:00,11:01:00,chickfila280,7,,0,0,
hwy280S2,11:15:00,11:20:00,walmart280,8,,0,0,
hwy280S2,11:25:00,11:25:00,chickfila280,9,,0,0,
hwy280S2,11:30:00,11:30:00,marriott280,10,,0,0,
hwy280S2,11:35:00,11:35:00,colonnade,11,,0,0,
hwy280S2,11:41:00,11:41:00,summit,12,,0,0,
hwy280S2,,,5points,13,,0,0,
hwy280S2,,,MorrisA20S,14,,0,0,
hwy280S2,12:06:00,12:06:00,central,15,,0,0,
hwy280S3,12:10:00,12:10:00,central,1,,0,0,
hwy280S3,,,MorrisA20S,2,,0,0,
hwy280S3,,,5points,3,,0,0,
hwy280S3,12:35:00,12:35:00,summit,4,,0,0,
hwy280S3,12:50:00,12:50:00,colonnade,5,,0,0,
hwy280S3,12:56:00,12:56:00,marriott280,6,,0,0,
hwy280S3,13:01:00,13:01:00,chickfila280,7,,0,0,
hwy280S3,13:15:00,13:20:00,walmart280,8,,0,0,
hwy280S3,13:25:00,13:25:00,chickfila280,9,,0,0,
hwy280S3,13:30:00,13:30:00,marriott280,10,,0,0,
hwy280S3,13:35:00,13:35:00,colonnade,11,,0,0,
hwy280S3,13:41:00,13:41:00,summit,12,,0,0,
hwy280S3,,,5points,13,,0,0,
hwy280S3,,,MorrisA20S,14,,0,0,
hwy280S3,14:06:00,14:06:00,central,15,,0,0,
hwy280S4,14:10:00,14:10:00,central,1,,0,0,
hwy280S4,,,MorrisA20S,2,,0,0,
hwy280S4,,,5points,3,,0,0,
hwy280S4,14:35:00,14:35:00,summit,4,,0,0,
hwy280S4,14:50:00,14:50:00,colonnade,5,,0,0,
hwy280S4,14:56:00,14:56:00,marriott280,6,,0,0,
hwy280S4,15:01:00,15:01:00,chickfila280,7,,0,0,
hwy280S4,15:15:00,15:20:00,walmart280,8,,0,0,
hwy280S4,15:25:00,15:25:00,chickfila280,9,,0,0,
hwy280S4,15:30:00,15:30:00,marriott280,10,,0,0,
hwy280S4,15:35:00,15:35:00,colonnade,11,,0,0,
